sis_id;section;section_id;section_sis_id;submitted;attempt;385133: For some random variables S, X1 and X2, let S = 2X1+4X2 and E(X1)=E(X2) = μ.The expected value of S, E(S), is;1.0;385134: Let now S = 3X1+2X2 and Var(X1)=Var(X2) = σ*σ. Assume that X1 and X2 are independent. The variance of S, Var(S), is;1.0;385135: We would like to test based on our sample if the expected value differs from 175. This can be formulated as follows:;1.0;"385136: 
We would like to test H0: μ = 180 vs H1: μ ≠ 180 at 5% significance level based on the R output
  One Sample t-testt = 0.6776, df = 9, p-value = 0.5151.
We can";1.0;"385137: 
We would like to test H0: μ = 180 vs H1: μ ≠ 180 at 5% significance level based on the R output
95 percent confidence interval:177.0980 185.3839
we can";1.0;"385138: 
We would like to test H0: μ = 180 vs H1: μ ≠ 180 based on the data described. We do a one sample t-test and find p-value = 0.5151. The p-value can be trusted";1.0;"385139: 
The response variable and predictor variables in the regression above are respectively:";1.0;"385140: 
The missing standard error in the output is:";1.0;"385141: 
The missing t value in the output is";1.0;"385143: 
If `Weight` is increased by 10 units, we can";1.0;"385144: 
The 'Multiple R-squared' tells us that";1.0;"385145: 

The model predicts the second observation to be";1.0;"385146: 
The residual for the first observation is";1.0;"385147: 
The residual variance estimate is";1.0;"385148: 

The model can be described as";1.0;"385149: 
The missing numbers (1), (2) and (3) are respectively";1.0;"385150: 

We can conclude that";1.0;"385151: 

We can conclude that";1.0;385152: Analysis of variance and regression analysis require;1.0;"385153: 
The y-values can be read into R and the mean and the median can be calculated and printed in R as follows (for Canvas technical reasons ';' replaces line shift):";1.0;385154: The data datQ5.Rdata (available in Canvas in case you would like to test, but you need not load the data here or in the following questions), can be loaded as follows;1.0;385155: The intercept and slope of the model can be estimated in R as follows provided the data `datQ5` has been loaded;1.0;385156: A detailed regression analysis of the model  can be obtained as follows provided the data `datQ5` has been loaded;1.0;"385157: 
We can find help for the function `anova` by typing";1.0;385158: If we would like to install the R library `mixlm`, we can start by typing;1.0;n correct;n incorrect;score
fs:192:1230459;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 14:22:55 UTC;2;6μ.;1.0;13*σ*σ.;1.0;H0: μ = 175 vs H1: μ ≠ 175.;1.0;not reject H0 since the p-value > 0.05.;1.0;not reject H0 since 180 is in the interval.;1.0;since the observations are iid and normally distributed.;1.0;Height, Weight and Circumference.;1.0;5.5070.;1.0;7.19.;1.0;expect an increase of 8.309 in `Height` for fixed value of the `Circumference`.;1.0;50.5% of the variability in `Height` is explained by the model.;1.0;174.;0.0;9.4.;1.0;44.45376.;1.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;over 80% of the variability in gain is explained by the model.;1.0;a continuous Gaussian and homoscedastic response variable.;1.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;"load(""datQ5.Rdata"")";1.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;?anova;1.0;"install.packages(""mixlm"")";1.0;24;1;24.0
fs:192:1372862;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 14:16:53 UTC;1;6μ.;1.0;13*σ*σ.;1.0;H0: μ = 175 vs H1: μ ≠ 175.;1.0;not reject H0 since the p-value > 0.05.;1.0;not reject H0 since 180 is in the interval.;1.0;since the observations are iid and normally distributed.;1.0;Height, Weight and Circumference.;1.0;5.5070.;1.0;7.19.;1.0;expect an increase of 8.309 in `Height` for fixed value of the `Circumference`.;1.0;50.5% of the variability in `Height` is explained by the model.;1.0;169.7203.;1.0;9.4.;1.0;44.45376.;1.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;over 80% of the variability in gain is explained by the model.;1.0;a continuous Gaussian and homoscedastic response variable.;1.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;"load(""datQ5.Rdata"")";1.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;"help[""anova""]";0.0;"install.packages(""mixlm"")";1.0;24;1;24.0
fs:192:1008505;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 14:07:38 UTC;1;6μ.;1.0;13*σ*σ.;1.0;H0: μ = 175 vs H1: μ ≠ 175.;1.0;not reject H0 since the p-value > 0.05.;1.0;not reject H0 since 180 is in the interval.;1.0;since the observations are iid and normally distributed.;1.0;Height, Weight and Circumference.;1.0;5.5070.;1.0;7.19.;1.0;expect an increase of 8.309 in `Height` for fixed value of the `Circumference`.;1.0;50.5% of the variability in `Height` is explained by the model.;1.0;169.7203.;1.0;9.4.;1.0;44.45376.;1.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;66.786% of the variability in gain is explained by the model.;0.0;a continuous Gaussian and heteroscedastic response variable.;0.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;read.csv(datQ5.Rdata);0.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;?anova;1.0;"install.packages(""mixlm"")";1.0;22;3;22.0
fs:192:959999;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 13:09:24 UTC;1;6μ.;1.0;13*σ*σ.;1.0;H0: μ = 175 vs H1: μ ≠ 175.;1.0;not reject H0 since the p-value > 0.05.;1.0;not reject H0 since 180 is in the interval.;1.0;since the observations are iid and normally distributed.;1.0;Height, Weight and Circumference.;1.0;5.5070.;1.0;7.19.;1.0;expect an increase of 8.309 in `Height` for fixed value of the `Circumference`.;1.0;50.5% of the variability in `Height` is explained by the model.;1.0;169.7203.;1.0;10.2.;0.0;44.45376.;1.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;over 80% of the variability in gain is explained by the model.;1.0;a continuous Gaussian and homoscedastic response variable.;1.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;load(datQ5.Rdata);0.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;?anova;1.0;"install.packages(""mixlm"")";1.0;23;2;23.0
fs:192:1136888;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 12:57:47 UTC;2;6μ.;1.0;13*σ*σ.;1.0;H0: x = 175 vs H1: x ≠ 175.;0.0;not reject H0 since the p-value > 0.05.;1.0;not reject H0 since 180 is in the interval.;1.0;since the observations are normally distributed.;0.0;Weight, Height and Circumference.;0.0;5.5070.;1.0;7.19.;1.0;expect an increase of 8.309 in `Height` for fixed value of the `Circumference`.;1.0;50.5% of the variability in `Height` is explained by the model.;1.0;169.7203.;1.0;9.4.;1.0;44.45376.;1.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;over 80% of the variability in gain is explained by the model.;1.0;a continuous Gaussian and homoscedastic response variable.;1.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;"load(""datQ5.Rdata"")";1.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;"help[""anova""]";0.0;"install.packages(""mixlm"")";1.0;21;4;21.0
fs:192:836863;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 12:57:21 UTC;1;6μ.;1.0;13*σ*σ.;1.0;H0: μ = 175 vs H1: μ ≠ 175.;1.0;not reject H0 since the p-value > 0.05.;1.0;not reject H0 since 180 is in the interval.;1.0;since the observations are iid and normally distributed.;1.0;Height, Weight and Circumference.;1.0;5.5070.;1.0;7.19.;1.0;expect an increase of 8.309 in `Height` for fixed value of the `Circumference`.;1.0;50.5% of the variability in `Height` is explained by the model.;1.0;169.7203.;1.0;9.4.;1.0;44.45376.;1.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;over 80% of the variability in gain is explained by the model.;1.0;a continuous Gaussian and homoscedastic response variable.;1.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;"load(""datQ5.Rdata"")";1.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;?anova;1.0;"install.packages(""mixlm"")";1.0;25;0;25.0
fs:192:1136888;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 12:51:40 UTC;1;6μ.;1.0;13*σ*σ.;1.0;H0: μ = 175 vs H1: μ ≠ 175.;1.0;not reject H0 since the p-value > 0.05.;1.0;not reject H0 since 180 is in the interval.;1.0;since the observations are iid and normally distributed.;1.0;Height, Weight and Circumference.;1.0;5.5070.;1.0;7.19.;1.0;no longer find any significant results.;0.0;50.5% of the variability in `Height` is explained by the model.;1.0;169.7203.;1.0;9.4.;1.0;44.45376.;1.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;over 80% of the variability in gain is explained by the model.;1.0;a continuous Gaussian and homoscedastic response variable.;1.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;"load(""datQ5.Rdata"")";1.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;"help[""anova""]";0.0;"install.packages(""mixlm"")";1.0;23;2;23.0
fs:192:1372855;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 12:51:40 UTC;1;6μ.;1.0;13*σ*σ.;1.0;H0: μ = 175 vs H1: μ ≠ 175.;1.0;not reject H0 since the p-value > 0.05.;1.0;not reject H0 since 180 is in the interval.;1.0;since the observations are iid and normally distributed.;1.0;Height, Weight and Circumference.;1.0;5.5070.;1.0;7.19.;1.0;expect an increase of 8.309 in `Height` for fixed value of the `Circumference`.;1.0;50.5% of the variability in `Height` is explained by the model.;1.0;169.7203.;1.0;9.4.;1.0;44.45376.;1.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;over 80% of the variability in gain is explained by the model.;1.0;a continuous Gaussian and homoscedastic response variable.;1.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;"load(""datQ5.Rdata"")";1.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;"help[""anova""]";0.0;"install.packages(""mixlm"")";1.0;24;1;24.0
fs:192:1337286;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 11:46:26 UTC;1;6μ.;1.0;13*σ*σ.;1.0;H1: μ = 175 vs H0: μ ≠ 175.;0.0;not conclude since there are only 10 observations.;0.0;not reject H0 since 180 is in the interval.;1.0;since the observations are iid and normally distributed.;1.0;Height, Weight and Circumference.;1.0;3884.2.;0.0;7.19.;1.0;expect an increase of 8.309 in `Height` for fixed value of the `Circumference`.;1.0;50.5% of the variability in `Height` is explained by the model.;1.0;169.7203.;1.0;9.4.;1.0;44.45376.;1.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;over 80% of the variability in gain is explained by the model.;1.0;a continuous Gaussian and homoscedastic response variable.;1.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;read.csv(datQ5.Rdata);0.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;?anova;1.0;"install.packages(""mixlm"")";1.0;21;4;21.0
fs:192:1372861;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 11:05:06 UTC;1;6μ.;1.0;13*σ*σ.;1.0;H0: μ = 175 vs H1: μ ≠ 175.;1.0;not reject H0 since the p-value > 0.05.;1.0;not reject H0 since 180 is in the interval.;1.0;since the observations are iid and normally distributed.;1.0;Weight, Height and Circumference.;0.0;5.5070.;1.0;7.19.;1.0;expect an increase of 8.309 in `Height` for fixed value of the `Circumference`.;1.0;50.5% of the variability in `Height` is explained by the model.;1.0;169.7203.;1.0;9.4.;1.0;44.45376.;1.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;over 80% of the variability in gain is explained by the model.;1.0;a continuous Gaussian and homoscedastic response variable.;1.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;"load(""datQ5.Rdata"")";1.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;?anova;1.0;"install.packages(""mixlm"")";1.0;24;1;24.0
fs:192:1141911;STAT340-1 26V Anv. met. statistikk;16434;UE_192_STAT340_1_2026_VÅR_1;2026-03-09 09:53:02 UTC;1;6μ.;1.0;13*σ*σ.;1.0;H0: μ = 175 vs H1: μ ≠ 175.;1.0;not reject H0 since the p-value > 0.05.;1.0;not reject H0 since 180 is in the interval.;1.0;since the observations are iid and normally distributed.;1.0;Height, Weight and Circumference.;1.0;5.5070.;1.0;7.19.;1.0;expect an increase of 8.309 in `Height` for fixed value of the `Circumference`.;1.0;50.5% of the variability in `Height` is explained by the model.;1.0;169.7203.;1.0;9.4.;1.0;0.2546347;0.0;a two-factor ANOVA model with interaction.;1.0;2, 76.54 and 0.696.;1.0;that there are significant main effects of 'diet' and 'supplement'.;1.0;over 80% of the variability in gain is explained by the model.;1.0;a continuous Gaussian and homoscedastic response variable.;1.0;"y <- c(1, 3.3, 4.7); c(""mean"" = mean(y), ""median"" = median(y))";1.0;"load(""datQ5.Rdata"")";1.0;lm(y ~ x, data = datQ5);1.0;summary(lm(y ~ x, data = datQ5));1.0;?anova;1.0;"install.packages(""mixlm"")";1.0;24;1;24.0
